observation_date,DEXINUS
2017-06-01,64.3900
2017-06-02,64.4100
2017-06-05,64.3400
2017-06-06,64.4200
2017-06-07,64.3900
2017-06-08,64.2400
2017-06-09,64.2400
2017-06-12,64.4800
2017-06-13,64.3300
2017-06-14,64.2300
2017-06-15,64.5800
2017-06-16,64.5000
2017-06-19,64.4500
2017-06-20,64.5400
2017-06-21,64.5200
2017-06-22,64.6000
2017-06-23,64.4700
2017-06-26,64.4300
2017-06-27,64.4700
2017-06-28,64.5500
2017-06-29,64.6600
2017-06-30,64.6200
2017-07-03,64.8400
2017-07-04,
2017-07-05,64.8000
2017-07-06,64.7200
2017-07-07,64.6200
2017-07-10,64.4500
2017-07-11,64.5400
2017-07-12,64.5300
2017-07-13,64.4600
2017-07-14,64.3800
2017-07-17,64.3400
2017-07-18,64.3200
2017-07-19,64.2400
2017-07-20,64.3700
2017-07-21,64.3800
2017-07-24,64.3900
2017-07-25,64.3800
2017-07-26,64.3200
2017-07-27,64.1100
2017-07-28,64.1100
2017-07-31,64.1800
2017-08-01,64.0600
2017-08-02,63.6400
2017-08-03,63.6700
2017-08-04,63.6400
2017-08-07,63.8300
2017-08-08,63.6900
2017-08-09,63.8600
2017-08-10,64.0500
2017-08-11,64.1400
2017-08-14,64.0800
2017-08-15,64.1200
2017-08-16,64.1600
2017-08-17,64.1500
2017-08-18,64.1000
2017-08-21,64.1000
2017-08-22,64.0700
2017-08-23,64.0400
2017-08-24,64.0400
2017-08-25,64.0000
2017-08-28,63.9000
2017-08-29,64.0200
2017-08-30,63.9800
2017-08-31,63.9300
2017-09-01,64.0200
2017-09-04,
2017-09-05,64.1200
2017-09-06,64.0600
2017-09-07,64.0100
2017-09-08,63.7800
2017-09-11,63.9300
2017-09-12,64.0300
2017-09-13,64.0000
2017-09-14,64.1200
2017-09-15,64.1000
2017-09-18,64.1500
2017-09-19,64.3000
2017-09-20,64.2900
2017-09-21,64.8000
2017-09-22,64.7900
2017-09-25,65.1200
2017-09-26,65.4600
2017-09-27,65.7100
2017-09-28,65.4600
2017-09-29,65.3000
2017-10-02,65.2800
2017-10-03,65.4800
2017-10-04,65.0200
2017-10-05,65.1400
2017-10-06,65.3900
2017-10-09,
2017-10-10,65.2400
2017-10-11,65.1500
2017-10-12,65.0500
2017-10-13,64.7000
2017-10-16,64.7000
2017-10-17,65.0200
2017-10-18,65.0600
2017-10-19,64.9900
2017-10-20,65.0300
2017-10-23,65.0200
2017-10-24,65.1000
2017-10-25,64.9200
2017-10-26,64.8400
2017-10-27,65.0400
2017-10-30,64.8300
2017-10-31,64.7500
2017-11-01,64.5600
2017-11-02,64.5700
2017-11-03,64.5600
2017-11-06,64.6200
2017-11-07,65.0300
2017-11-08,64.9400
2017-11-09,64.9600
2017-11-10,
2017-11-13,65.4600
2017-11-14,65.4100
2017-11-15,65.2600
2017-11-16,65.3200
2017-11-17,65.0100
2017-11-20,65.1000
2017-11-21,64.9100
2017-11-22,64.8700
2017-11-23,
2017-11-24,64.6700
2017-11-27,64.4700
2017-11-28,64.4000
2017-11-29,64.2900
2017-11-30,64.4600
2017-12-01,64.5000
2017-12-04,64.3600
2017-12-05,64.3800
2017-12-06,64.5300
2017-12-07,64.5700
2017-12-08,64.4300
2017-12-11,64.3500
2017-12-12,64.3900
2017-12-13,64.4500
2017-12-14,64.3600
2017-12-15,64.0400
2017-12-18,64.2300
2017-12-19,64.0200
2017-12-20,64.1100
2017-12-21,64.0200
2017-12-22,64.0200
2017-12-25,
2017-12-26,64.0800
2017-12-27,64.1500
2017-12-28,64.0700
2017-12-29,63.8300
2018-01-01,
2018-01-02,63.4600
2018-01-03,63.5000
2018-01-04,63.4000
2018-01-05,63.3800
2018-01-08,63.4800
2018-01-09,63.6600
2018-01-10,63.5800
2018-01-11,63.6500
2018-01-12,63.6100
2018-01-15,
2018-01-16,64.0100
2018-01-17,63.8800
2018-01-18,63.8700
2018-01-19,63.8400
2018-01-22,63.8800
2018-01-23,63.7600
2018-01-24,63.6900
2018-01-25,63.5200
2018-01-26,63.5800
2018-01-29,63.5700
2018-01-30,63.6500
2018-01-31,63.5800
2018-02-01,63.9700
2018-02-02,64.1100
2018-02-05,64.0600
2018-02-06,64.2300
2018-02-07,64.2300
2018-02-08,64.2700
2018-02-09,64.3700
2018-02-12,64.2900
2018-02-13,64.2700
2018-02-14,64.1000
2018-02-15,63.9300
2018-02-16,64.2100
2018-02-19,
2018-02-20,64.8300
2018-02-21,64.7600
2018-02-22,65.0100
2018-02-23,64.7100
2018-02-26,64.7800
2018-02-27,64.8400
2018-02-28,65.2000
2018-03-01,65.2000
2018-03-02,65.2400
2018-03-05,65.0600
2018-03-06,64.9000
2018-03-07,64.8600
2018-03-08,65.1500
2018-03-09,65.1200
2018-03-12,65.0000
2018-03-13,64.8500
2018-03-14,64.8400
2018-03-15,64.9400
2018-03-16,64.9700
2018-03-19,65.2100
2018-03-20,65.1900
2018-03-21,65.2000
2018-03-22,65.1000
2018-03-23,64.9800
2018-03-26,64.8300
2018-03-27,64.9800
2018-03-28,65.1500
2018-03-29,65.1200
2018-03-30,65.1100
2018-04-02,65.1100
2018-04-03,65.0000
2018-04-04,65.0800
2018-04-05,64.9200
2018-04-06,64.9500
2018-04-09,64.9500
2018-04-10,64.9500
2018-04-11,65.2600
2018-04-12,65.2800
2018-04-13,65.2700
2018-04-16,65.4600
2018-04-17,65.6600
2018-04-18,65.6200
2018-04-19,65.7900
2018-04-20,66.1500
2018-04-23,66.4200
2018-04-24,66.3600
2018-04-25,66.9200
2018-04-26,66.8000
2018-04-27,66.6800
2018-04-30,66.5000
2018-05-01,66.5200
2018-05-02,66.7100
2018-05-03,66.6800
2018-05-04,66.8300
2018-05-07,67.1300
2018-05-08,67.1200
2018-05-09,67.2500
2018-05-10,67.2400
2018-05-11,67.2800
2018-05-14,67.5500
2018-05-15,68.0700
2018-05-16,67.7700
2018-05-17,67.7600
2018-05-18,68.0400
2018-05-21,68.1100
2018-05-22,68.0400
2018-05-23,68.3800
2018-05-24,68.3200
2018-05-25,67.7800
2018-05-28,
2018-05-29,67.7800
2018-05-30,67.4600
2018-05-31,67.4000
2018-06-01,66.9900
2018-06-04,67.0500
2018-06-05,67.1200
2018-06-06,66.8700
2018-06-07,67.2000
2018-06-08,67.5600
2018-06-11,67.4600
2018-06-12,67.4800
